Sample	Polychaeta	Crustacea	Mollusca	Insecta	week	angle1	angle2	exposure	salinity	temperature	NAP	penetrability	grainsize	humus	chalk	sorting1
1	87.00	51.00	0.00	1.00	1	32	96	10	29.4	17.5	0.045	253.9	222.5	0.05	2.05	69.83
2	37.00	14.00	1.00	0.00	1	62	96	10	29.4	17.5	-1.036	226.9	200	0.3	2.5	59
3	28.00	42.00	0.00	0.00	1	65	96	10	29.4	17.5	-1.336	237.1	194.5	0.1	3.45	59.22
4	172.00	25.00	0.00	2.00	1	55	96	10	29.4	17.5	0.616	248.6	221	0.15	1.6	67.75
5	16.00	50.00	0.00	0.00	1	23	96	10	29.4	17.5	-0.684	251.9	202	0.05	2.45	57.76
6	891.00	26.00	0.00	27.00	1	129	89	8	29.6	20.8	1.19	250.1	192.5	0.1	2.5	53.075
7	29.00	211.00	1.00	0.00	1	126	89	8	29.6	20.8	0.82	257.1	205.5	0.1	1.85	54.41
8	22.00	169.00	0.00	0.00	1	52	89	8	29.6	20.8	0.635	247.9	211.5	0.1	1.7	60.405
9	151.00	21.00	38.00	0.00	1	26	89	8	29.6	20.8	0.061	248.9	205.5	0.15	2.3	58.81
10	31.00	4.00	13.00	0.00	1	143	89	8	29.6	20.8	-1.334	257.9	197	0	2.6	59.575
11	16.00	19.00	0.00	0.00	2	41	42	11	27.9	15.8	-0.976	268.4	330.5	0.05	3.4	101.33
12	0.00	1.00	0.00	0.00	2	26	42	11	27.9	15.8	1.494	274.4	272.5	0	2.55	66.17
13	2.00	45.00	0.00	0.00	2	30	42	11	27.9	15.8	-0.201	272.9	296.5	0.1	2.2	83.84
14	7.00	31.00	0.00	0.00	2	38	42	11	27.9	15.8	-0.482	261.4	304	0.05	1.95	78.075
15	5.00	5.00	0.00	0.00	2	22	42	11	27.9	15.8	0.167	258.1	323.5	0.1	1.9	105.955
16	0.00	1.00	0.00	0.00	2	10	31	11	28.1	18.775	1.768	258.4	293.5	0.05	7.1	87.685
17	21.00	0.00	0.00	26.00	2	13	31	11	28.1	18.775	-0.03	253.4	361	0	45.75	248.6
18	71.00	0.00	0.00	2.00	2	49	31	11	28.1	18.775	0.46	268.6	330.5	0.05	38.95	153.625
19	0.00	0.00	0.00	8.00	2	58	31	11	28.1	18.775	1.367	270.3	289.5	0	4.15	76.415
20	46.00	2.00	0.00	0.00	2	13	31	11	28.1	18.775	-0.811	260.3	297	0	28.85	96.965
21	0.00	1.00	0.00	5.00	4	20	21	10	29.9	19.8	1.117	252.1	251.5	0	0.85	80.03
22	26.00	4.00	12.00	0.00	4	22	21	10	29.9	19.8	-0.503	256.1	265	0	1.6	89.035
23	13.00	8.00	1.00	0.00	4	22	21	10	29.9	19.8	0.729	244.1	275.5	0.1	2.15	106.72
24	0.00	0.00	0.00	0.00	4	31	21	10	29.9	19.8	1.627	239.1	256.5	0	0.95	85.55
25	35.00	6.00	2.00	0.00	4	18	21	10	29.9	19.8	0.054	231.1	254.5	0.1	2.1	86.17
26	24.00	9.00	0.00	0.00	3	56	36	11	27.1	17.4	-0.578	221.8	351	0	17.65	150.08
27	24.00	9.00	1.00	0.00	3	45	36	11	27.1	17.4	-0.348	206.8	405.5	0.05	13.35	148.68
28	0.00	0.00	0.00	67.00	3	6	36	11	27.1	17.4	2.222	189.3	347.5	0	3.8	124.215
29	15.00	10.00	0.00	21.00	3	48	36	11	27.1	17.4	-0.893	179.3	336	0.05	15.5	151.665
30	3.00	2.00	0.00	0.00	3	16	36	11	27.1	17.4	0.766	172.3	354.5	0	7.35	136.99
31	6.00	1.00	0.00	0.00	2	49	77	11	27.4	18.4	0.883	165.8	266	0.05	11.35	126.685
32	0.00	0.00	0.00	1.00	2	86	77	11	27.4	18.4	1.786	151.8	256.5	0.0125	12.65	118.87375
33	0.00	1.00	0.00	0.00	2	312	77	11	27.4	18.4	1.375	193.3	234	0	9.15	93.585
34	95.00	6.00	1.00	0.00	2	26	77	11	27.4	18.4	-0.06	226.8	242	0	16.1	114.02
35	339.00	13.00	0.00	0.00	2	30	77	11	27.4	18.4	0.367	262.3	284	0	14	141.205
36	0.00	6.00	0.00	0.00	3	28	32	10	26.4	20	1.671	296.3	294.5	0	4.95	94.385
37	50.00	49.00	0.00	0.00	3	50	32	10	26.4	20	-0.375	342.3	316.5	0.1	7.2	115.445
38	5.00	22.00	0.00	0.00	3	55	32	10	26.4	20	-1.005	382.8	355	0	16.7	133.085
39	76.00	9.00	0.00	0.00	3	22	32	10	26.4	20	0.17	415.8	362	0	6	113.815
40	0.00	0.00	0.00	0.00	3	13	32	10	26.4	20	2.052	449.8	311.5	0	4.75	93.66
41	12.00	5.00	1.00	1.00	3	55	96	10	27.1	20.5	-0.356	489	244.5	0.05	5.75	89.39
42	14.00	19.00	1.00	0.00	3	63	96	10	27.1	20.5	0.094	531	247.5	0.2	4.95	76.905
43	11.00	12.00	0.00	0.00	3	138	96	10	27.1	20.5	-0.002	568.5	223	0	5.4	72.745
44	0.00	0.00	0.00	0.00	3	22	96	10	27.1	20.5	2.255	606.5	186	0.05	7.1	77.255
45	0.00	11.00	0.00	0.00	3	18	96	10	27.1	20.5	0.865	624	189.5	0	7.1	83.32
