ANIMAL	YEAR	AGE	REPLAST	YOUNG	MYEARL	FYEARL	MATRILINE	OTHFEM	MALEPRES	NEWMALE	YOUNGAD	OFFSPYOUNG	OLDAD	OFFSPOLD	SAMEAD	OFFSSAME	2YR	GPUP	MYOUNGAM	FYOUNGAM	MYEARLAM	FYEARLAM	FADAM	MYEARLAG	FYEARLAG	FADAG	MYEARLAMNK	FYEARLAMNK	FADAMNK	MYEARLAGNK	FYEARLAGNK	FADAGNK	COLONY	ELEV	RESIDENT	FSNOWF	LSNOWF	FSNOWC	LSNOWC	LWINT1	LWINT2	GROWSEAS1	GROWSEAS2	SEPMAYPRECIP	JUNEPRECIP	JULYPRECIP	AUGPRECIP	JUNJULPRECIP	JULAUGPRECIP	JUNAUGPRECIP	TEMPSEPTNOV	TEMPJUNAUG	MATDOM	ADFEMDOM
15	1973	3	NA	0	0	0	1	0	TRUE	TRUE	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	0	296	122	300	120	191	185	202	120	22.70000076	1.620000005	0.569999993	1.389999986	2.190000057	1.960000038	3.579999924	36.59999847	55.59999847	NA	NA
15	1974	4	0	0	0	0	1	0	FALSE	FALSE	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	0	282	134	335	125	217	155	215	75	15.30000019	1.610000014	1.419999957	1.220000029	3.029999971	2.640000105	4.25	37.20000076	53.90000153	NA	NA
15	1975	5	0	0	0	0	1	1	TRUE	TRUE	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	0	302	161	302	130	224	193	177	55	17.39999962	0.930000007	1.950000048	1.320000052	2.880000114	3.269999981	4.199999809	35.79999924	51.79999924	NA	NA
15	1976	6	0	3	0	0	1	1	TRUE	FALSE	0	0	0	0	0	0	0	0	0.333000004	0.444000006	NA	NA	NA	NA	NA	NA	0.009	NA	0	0	NA	0	1	2867	0	286	108	323	109	187	151	193	101	12.80000019	1.029999971	2.549999952	0.660000026	3.579999924	3.210000038	4.239999771	35.79999924	51.09999847	NA	3
15	1978	8	1	3	0	0	1	2	TRUE	FALSE	0	0	0	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	0	305	128	322	120	188	163	226	119	24.70000076	0.159999996	2.779999971	1.409999967	2.940000057	4.190000057	4.349999905	39.09999847	55.79999924	NA	0
15	1979	9	1	4	1	2	1	2	TRUE	TRUE	0	0	0	0	0	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0.050000001	0.013	1	2867	0	295	129	316	116	119	165	196	101	25.39999962	0.529999971	1.230000019	1.289999962	1.75999999	2.519999981	3.049999952	38.20000076	55.09999847	NA	15
17	1971	2	NA	0	0	0	1	2	TRUE	TRUE	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	1	283	129	312	101	211	154	187	125	22.79999924	1.769999981	2.420000076	2.269999981	4.190000057	4.690000057	6.460000038	35.5	56.29999924	NA	NA
22	1969	2	NA	0	0	0	2	0	TRUE	FALSE	0	0	1	5	0	0	0	0	0.166999996	0.111000001	NA	NA	0.115999997	NA	NA	0	0	0	NA	0	0	NA	1	2867	0	281	106	304	109	190	169	182	110	17.60000038	0.079999998	3.660000086	2.069999933	3.74000001	5.730000019	5.809999943	36.09999847	55.20000076	NA	NA
38	1975	2	NA	0	0	0	1	0	TRUE	FALSE	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2867	1	302	161	302	130	224	193	177	55	17.39999962	0.930000007	1.950000048	1.320000052	2.880000114	3.269999981	4.199999809	35.79999924	51.79999924	NA	NA
40	1994	2	NA	0	0	0	4	4	TRUE	TRUE	0	0	1	0	2	4	0	0	0	0.007	NA	NA	0.068000004	NA	NA	0.002	0	0	0	0	0	0.009	1	2867	1	283	130	309	102	212	158	181	102	17.89999962	1.049999952	1.039999962	2.680000067	2.089999914	3.720000029	4.769999981	33.70000076	52.90000153	54	19
