,SampleID,PlotName,Site,TrapName,Species,BiomassSum,Year,N,N_dec,P,P_dec,K,Mg,Ca,C,C_dec,Qty_C,Qty_N,Qty_P,Molar_C,Molar_N,Molar_P,CNRatio,CPRatio,NPRatio
1,BL_F5_ABBA,Bloomfield+F5,BL,F5,ABBA,2.643321926,2016,0.63,0.0063,0.125,0.00125,0.39,0.11,0.52,51.52,0.5152,0.003394838,4.15E-05,8.24E-06,0.000282651,2.96E-06,2.66E-07,95.36803017,1062.897728,11.14522054
2,BL_J1_ABBA,Bloomfield+J1,BL,J1,ABBA,43.96045617,2016,0.99,0.0099,0.125,0.00125,0.47,0.08,0.97,51.53,0.5153,0.056469707,0.001084902,0.000136983,0.004701617,7.75E-05,4.42E-06,60.70052612,1063.104036,17.51391798
3,DP_A1_ABBA,Dunphys Pond+A1,DP,A1,ABBA,12.58625613,2016,1.3,0.013,0.13,0.0013,0.99,0.09,0.34,51.43,0.5143,0.016136387,0.000407881,4.08E-05,0.001343501,2.91E-05,1.32E-06,46.13607873,1020.231691,22.11353281
4,DP_A11_ABBA,Dunphys Pond+A11,DP,A11,ABBA,48.82617295,2016,0.88,0.0088,0.054,0.00054,0.54,0.08,0.53,52.17,0.5217,0.063498977,0.001071096,6.57E-05,0.005286867,7.65E-05,2.12E-06,69.13622654,2491.453089,36.03686828
5,DP_A13_ABBA,Dunphys Pond+A13,DP,A13,ABBA,197.3746483,2016,1.21,0.0121,0.109,0.00109,0.88,0.09,0.34,51.2,0.512,0.251915293,0.005953467,0.000536304,0.020974239,0.000425044,1.73E-05,49.34601633,1211.348485,24.54805018
6,DP_A3_ABBA,Dunphys Pond+A3,DP,A3,ABBA,567.5666883,2016,0.74,0.0074,0.044,0.00044,0.33,0.12,0.58,52.32,0.5232,0.740249012,0.010469883,0.000622534,0.061632462,0.000747491,2.01E-05,82.45244207,3066.483953,37.19094154
7,DP_A5_ABBA ,Dunphys Pond+A5,DP,A5,ABBA,21.21351537,2016,0.75,0.0075,0.056,0.00056,0.38,0.1,0.6,52.71,0.5271,0.027873972,0.000396613,2.96E-05,0.002320762,2.83E-05,9.56E-07,81.95949245,2427.340079,29.61633858
8,DP_A7_ABBA ,Dunphys Pond+A7,DP,A7,ABBA,1.126455092,2016,1.18,0.0118,0.057,0.00057,0.55,0.09,0.51,52.24,0.5224,0.001466933,3.31E-05,1.60E-06,0.000122136,2.37E-06,5.17E-08,51.62840027,2363.490985,45.77889248
9,DP_C10_ABBA,Dunphys Pond+C10,DP,C10,ABBA,22.08871032,2016,1.07,0.0107,0.074,0.00074,0.74,0.08,0.45,50.98,0.5098,0.028071356,0.000589179,4.07E-05,0.002337196,4.21E-05,1.32E-06,55.56272806,1776.616736,31.97497312
10,DP_C14_ABBA,Dunphys Pond+C14,DP,C14,ABBA,29.63327534,2016,0.94,0.0094,0.085,0.00085,0.66,0.08,0.37,51.68,0.5168,0.038176434,0.000694386,6.28E-05,0.003178535,4.96E-05,2.03E-06,64.11537089,1567.939196,24.45496569
