"","Neo.Reference.ID","Name","Absolute.Magnitude","Est.Dia.in.KM.min.","Est.Dia.in.KM.max.","Est.Dia.in.M.min.","Est.Dia.in.M.max.","Est.Dia.in.Miles.min.","Est.Dia.in.Miles.max.","Est.Dia.in.Feet.min.","Est.Dia.in.Feet.max.","Close.Approach.Date","Epoch.Date.Close.Approach","Relative.Velocity.km.per.sec","Relative.Velocity.km.per.hr","Miles.per.hour","Miss.Dist..Astronomical.","Miss.Dist..lunar.","Miss.Dist..kilometers.","Miss.Dist..miles.","Orbiting.Body","Orbit.ID","Orbit.Determination.Date","Orbit.Uncertainity","Minimum.Orbit.Intersection","Jupiter.Tisserand.Invariant","Epoch.Osculation","Eccentricity","Semi.Major.Axis","Inclination","Asc.Node.Longitude","Orbital.Period","Perihelion.Distance","Perihelion.Arg","Aphelion.Dist","Perihelion.Time","Mean.Anomaly","Mean.Motion","Equinox","Hazardous"
"2609",3449084,NA,18.7,0.4836764882,1.0815335068,483.6764882185,1081.533506775,0.3005425432,0.6720335566,1586.8651696069,3548.3383903678,"2009-04-15",NA,11.2232983388,40403.8740195756,25105.3960539969,NA,112.7197341919,43348668,26935614,"Earth",NA,"2017-03-08 06:18:03",0,NA,5.578,2457800.5,0.275715409766243,1.09561693163495,20.0604792405137,29.8547518833002,418.877014681585,0.793538460382384,41.8396812264064,1.39769540288751,2457736.35351362,55.1301080929995,0.859440808118008,"J2000",0
"4069",3702322,3702322,22.1,0.1010543415,0.2259643771,NA,225.9643771094,0.0627922373,0.140407711,331.5431259047,741.3529669956,"2014-11-15",1416038400000,13.5740697224,48866.6510006126,30363.8365620196,0.0670514404,26.0830097198,10030753,6232821,"Earth",8,NA,8,0.0559447,3.608,2457009.5,0.569837195622215,NA,4.38759419590557,1.42008871818449,1039.97781959474,0.864138367512947,359.252824066444,3.15358868242524,2456940.94729716,NA,0.346161228842636,"J2000",0
"2369",3406893,3406893,24.8,0.0291443905,0.0651688382,29.1443904535,65.1688382168,NA,0.0404940262,95.6180819754,213.8085311752,"2008-03-15",1205564400000,5.7549580308,20717.848910961,12873.2656191469,0.0130344979,NA,1949933.25,1211632.375,"Earth",12,"2017-04-06 09:03:56",6,0.00552681,4.442,NA,0.344348652220014,1.51577485785946,5.43693553411532,170.680905723239,681.632792457398,0.993819828486574,350.016908658769,2.03772988723235,2457937.35426776,NA,0.528143604567704,NA,0
"1098",NA,3082923,21.6,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,"2001-09-15",1000537200000,13.839049025,49820.576489847,30956.5687639274,0.0582932125,22.6760597229,NA,5418692.5,"Earth",12,"2017-04-06 09:16:08",0,NA,5.504,2458000.5,0.254507446180297,1.11019343943666,23.897139929392,356.177527258946,427.264107985456,0.827640942399515,268.177496841016,1.3927459364738,NA,297.43997477661,0.842570188489258,"J2000",1
"1252",2363305,2363305,21.4,0.1394938229,0.3119176705,139.4938229344,311.9176705226,0.0866774163,0.1938165949,457.6569140361,1023.3519701574,"2002-08-22",1029999600000,4.6064244148,16583.1278934058,10304.1107735443,0.038065769,14.8075838089,5694558,3538434.25,"Earth",91,"2017-04-28 06:20:42",0,0.0280978,NA,2458000.5,0.21985663497005,1.23724871529163,3.50143512855631,183.335859475558,502.671131310449,0.965231376126595,179.234167631057,1.50926605445667,2458069.66593221,310.465156948999,0.716174010354425,"J2000",1
"634",3017307,3017307,18.2,0.6089126221,1.3615700154,608.9126221057,1361.5700153859,0.3783606449,0.846040122,1997.7448871092,NA,"1999-01-15",916387200000,12.5097552168,45035.1187803774,27983.0714443962,NA,76.8657150269,29560276,18367904,"Earth",NA,"2017-09-02 06:18:31",0,0.11466,2.972,NA,0.618936310067507,2.82281410631105,12.5988835690909,294.91795103244,1732.29497437633,1.07567195934438,154.799799338408,4.56995625327772,2458109.99469008,337.245163778892,0.207816801021206,"J2000",0
"2097",2438430,2438430,20,0.2658,0.5943468684,265.8,594.3468684194,0.1651604118,0.369309908,872.047272,1949.9569797852,"2006-12-22",1166774400000,16.7970168708,60469.2607350406,37573.2470383923,NA,137.7454223633,52972808,32915778,"Earth",24,"2017-04-06 09:20:35",1,0.16107,4.762,2458000.5,0.240724551631536,1.35778064859502,20.3918859373985,81.335593693535,577.886899068335,1.03092951074801,67.1087839751259,1.68463178644204,2458176.30706358,250.479360249676,0.622959268639572,"J2000",0
"3911",3653917,3653917,21,0.1677084622,0.3750075218,167.7084621628,NA,0.1042091748,0.2330187988,550.2246310023,1230.3396778159,"2014-05-15",1400137200000,11.2386377584,40459.095930393,25139.70880186,NA,63.3626174927,24367384,15141191,"Earth",NA,"2017-04-06 08:43:30",1,0.145061,NA,2458000.5,0.390016652062668,1.51574345534881,17.8677650531153,74.303591546394,681.611610350382,0.924578267507764,94.9289253459175,2.10690864318985,2458096.42805506,309.334636769559,0.528160017425381,"J2000",0
"356",3519490,3519490,20.9,0.1756123185,0.3926810818,175.6123184804,392.6810818086,0.1091204019,0.2440006365,576.1559189633,1288.3238004408,"1997-05-22",864284400000,12.7146709572,45772.815446082,28441.4474642613,0.2202479055,85.6764373779,32948618,20473322,"Earth",NA,"2017-04-06 08:57:40",1,0.0287327,5.203,2458000.5,0.319829249362867,1.19059831279342,23.3099571744882,NA,474.511039814888,0.809810148120004,292.08084959925,1.57138647746683,2457799.71067111,152.33398664027,0.758675709927507,"J2000",1
"4261",2066391,NA,16.5,1.332155667,2.978790628,1332.1556669813,2978.7906279817,0.8277628989,1.8509341113,4370.5895984589,9772.9354439076,"2015-06-08",1433746800000,22.885558789,NA,51192.7064551872,0.3243815501,126.184425354,48526792,30153150,"Earth",212,"2017-08-15 06:21:26",0,0.0137915,8.499,2458000.5,0.688581252797845,0.642228069508924,38.8838393917037,244.913525324409,187.988962717694,0.200001860824528,192.617670399372,1.08445427819332,2458001.00848565,359.026246910039,1.91500604501243,"J2000",1
"3954",3514799,3514799,21.6,NA,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,NA,1405407600000,14.6184292409,NA,32699.964368952,0.2900218801,112.8185043335,43386656,26959216,"Earth",25,"2017-04-06 08:57:58",1,0.034798,5.154,2458000.5,0.210447943228487,1.22561473661833,16.7933816599912,84.6293067946083,495.597820944911,NA,158.263596071329,1.48354283713018,2457814.45514869,135.142132675629,0.726395445632955,"J2000",1
"1903",2172974,2172974,NA,0.3669061375,0.8204270649,366.9061375314,820.4270648822,0.2279848336,0.5097895857,1203.7603322587,2691.6899315481,"2006-02-08",1139385600000,NA,3550.405588375,2206.0839612878,NA,115.3157043457,NA,27555950,"Earth",48,"2017-07-18 06:20:18",0,NA,NA,2458000.5,NA,1.63689616941412,NA,239.423998074277,764.944850645928,1.23337797506394,NA,2.0404143637643,2458359.25692144,191.161041727639,NA,"J2000",0
"899",2367943,2367943,24,0.0421264611,0.0941976306,42.1264610556,94.1976305719,0.0261761612,0.0585316759,138.2101784897,309.0473542854,NA,9.65718e+11,10.7547308012,38717.0308842674,24057.2573291716,0.2173426732,84.5463027954,32514002,20203264,NA,80,"2017-04-06 09:22:36",NA,0.00172365,6.532,2458000.5,0.0893479850035141,0.910284163483397,11.6091528808794,146.961249609315,317.222444692808,0.828952107695546,195.589584534066,0.991616219271248,NA,246.773197753319,1.13485034247377,"J2000",0
"932",3102756,3102756,22.7,NA,0.1714115092,76.6575573531,171.4115092306,0.0476327831,NA,251.5011804664,562.3737359442,NA,NA,18.2410028298,65667.610187437,40803.2992300772,0.4661866007,181.3465881348,69740528,43334752,"Earth",10,"2017-04-06 09:15:34",2,0.00385218,6.481,2458000.5,0.162196078949953,0.917141354366244,13.0602411095975,295.040637040068,NA,0.76838462284519,305.903334154267,1.0658980858873,2458153.67695533,188.112976113488,1.12214675839335,NA,0
"997",3724393,3724393,21.1,0.160160338,0.358129403,160.1603379786,358.1294030194,0.0995189894,0.2225312253,525.4604432536,1174.9652706022,"2001-02-15",9.82224e+11,23.6069967722,84985.1883800323,52806.491079804,NA,133.2638092041,51249308,31844844,"Earth",10,"2017-04-06 08:32:42",6,NA,4.975,2458000.5,0.54543990427103,1.22046282352612,28.7319467918462,300.516683462302,NA,0.554773697895682,141.999986092644,1.88615194915656,2457838.0178229,118.774434414735,0.730999772012375,"J2000",0
"2015",3338519,3338519,21,0.1677084622,0.3750075218,167.7084621628,375.0075217981,0.1042091748,NA,550.2246310023,1230.3396778159,"2006-08-22",1.15623e+12,21.5761551425,77674.1585130306,48263.7014382773,0.1072053541,41.7028808594,16037693,9965360,"Earth",15,"2017-04-06 09:08:17",6,0.0996334,5.104,2458000.5,0.611802872026862,1.17702962980845,24.711855336802,341.010055226509,466.422529977301,0.456919521830928,228.480678472666,1.89713973778598,2458107.51067333,277.405699935055,0.771832355562927,"J2000",0
"4002",3685814,NA,23.7,0.0483676488,NA,48.3676488219,108.1533506775,0.0300542543,0.0672033557,158.6865169607,354.8338390368,"2014-09-15",1410764400000,3.8375279608,13815.1006588226,NA,0.0986463059,38.3734130859,14757277,9169747,"Earth",13,"2017-04-06 08:38:47",4,0.0966552,5.111,NA,0.131849470791624,1.25555239274934,NA,159.782446104293,513.866950631076,1.09000847421418,213.133003480609,1.4210963112845,2457964.79568466,25.0133882078287,0.700570448358056,"J2000",0
"860",NA,2380818,20.6,0.2016299194,0.4508582062,201.6299194428,450.8582061718,0.1252869847,0.2801502144,661.5155049046,1479.1936371367,"2000-05-22",958978800000,NA,46719.6344011206,29029.7639421852,0.4382767055,170.4896392822,65565264,40740364,"Earth",47,"2017-04-06 09:22:16",0,0.15467,6.339,2458000.5,0.512307188177811,0.923015147927113,NA,127.738105425979,323.900538119946,0.450147852847047,191.791041306215,1.39588244300718,2457874.00649042,140.591502915648,1.11145230597513,"J2000",0
"3944",3348144,3348144,23.9,0.04411182,0.0986370281,44.1118199997,NA,0.0274098057,0.0612901888,144.7238235278,323.6123073718,"2014-06-22",1403420400000,13.8649721256,49913.8996521841,NA,0.2079819902,80.9049911499,31113662,19333134,"Earth",10,"2017-04-06 09:07:56",1,NA,6.298,2458000.5,0.3973810059712,0.940325840390895,11.6076647207195,195.370087214147,333.05501929346,0.566658211995647,315.241874319619,1.31399346878614,2458097.46735586,255.18774350847,1.08090249101695,"J2000",0
"259",3719227,NA,26.2,0.0152951935,0.0342010925,15.2951935344,34.201092472,0.0095039897,0.021251567,50.1810827555,112.2083122258,"1996-10-08",8.44758e+11,8.1019731991,29167.103516679,18123.3038490164,0.1611431102,62.6846694946,24106666,14979188,"Earth",13,"2017-04-06 08:33:44",4,0.0163424,6.213,2458000.5,0.122825956007411,NA,9.50414431665235,237.118661036118,348.590157493498,0.850283140654399,NA,1.08840427600515,2458096.98054411,260.361512991481,1.03273139605703,"J2000",0
