study,dataset,version,variable,value,label,label_de
soep-core,Übungsdatensatz_f,v36,bildung,-7,[-7] Only available in less restricted edition ,[-7] Nur in weniger eingeschränkter Edition verfügbar
soep-core,Übungsdatensatz_f,v36,bildung,-2,[-2] does not apply,[-2] trifft nicht zu
soep-core,Übungsdatensatz_f,v36,bildung,-1,[-1] no answer ,[-1] keine Angabe
soep-core,Übungsdatensatz_f,v36,branche,-8,[-8] Question not part of the survey program this year,[-8] Frage in diesem Jahr nicht Teil des Frageprograms
soep-core,Übungsdatensatz_f,v36,branche,-7,[-7] Only available in less restricted edition ,[-7] Nur in weniger eingeschränkter Edition verfügbar
soep-core,Übungsdatensatz_f,v36,branche,-6,[-6] Version of questionnaire with modified filtering,[-6] Fragebogenversion mit geaenderter Filterfuehrung
soep-core,Übungsdatensatz_f,v36,branche,-5,[-5] Not included in this version of the questionnaire,[-5] in Fragebogenversion nicht enthalten
soep-core,Übungsdatensatz_f,v36,branche,-4,[-4] Inadmissable multiple response ,[-4] unzulaessige Mehrfachantwort
soep-core,Übungsdatensatz_f,v36,branche,-3,[-3] not valid,[-3] nicht valide
soep-core,Übungsdatensatz_f,v36,branche,-2,[-2] does not apply,[-2] trifft nicht zu
soep-core,Übungsdatensatz_f,v36,branche,-1,[-1] no answer ,[-1] keine Angabe
soep-core,Übungsdatensatz_f,v36,branche,1,"[1] Agriculture, hunting and related activities","[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten"
soep-core,Übungsdatensatz_f,v36,branche,2,[2] Forestry and logging,[2] Forstwirtschaft und Holzeinschlag
soep-core,Übungsdatensatz_f,v36,branche,3,[3] Fisheries and aquaculture,[3] Fischerei und Aquakultur
soep-core,Übungsdatensatz_f,v36,branche,5,[5] Coal mining,[5] Kohlenbergbau
soep-core,Übungsdatensatz_f,v36,branche,6,[6] Extraction of crude oil and natural gas,[6] Gewinnung von Erdoel und Erdgas
soep-core,Übungsdatensatz_f,v36,branche,7,[7] Ore mining,[7] Erzbergbau
