X	Y	rain	djungle	snouter1.1	snouter1.2	snouter1.3	snouter1.4	snouter1.5	snouter1.6	snouter1.7	snouter1.8	snouter1.9	snouter1.10	snouter2.1	snouter2.2	snouter2.3	snouter2.4	snouter2.5	snouter2.6	snouter2.7	snouter2.8	snouter2.9	snouter2.10	snouter3.1	snouter3.2	snouter3.3	snouter3.4	snouter3.5	snouter3.6	snouter3.7	snouter3.8	snouter3.9	snouter3.10
14	1	237	15	100.5	63.5	76.6	69.4	66	71	65.6	86.3	73.5	64.3	1	1	1	1	1	1	1	1	1	1	25	10	15	13	11	13	11	19	14	10
15	1	267.5	18	103.4	62.1	79.1	63	61.7	72.6	64.9	69.8	67	68.6	1	1	1	1	1	1	1	1	1	1	26	9	16	10	9	14	11	12	11	12
16	1	268	6	93.8	62.5	80.2	66.8	52.1	65.7	68.3	69.7	71.6	67.7	1	1	1	1	0	1	1	1	1	1	22	10	17	11	5	11	12	12	13	12
17	1	268.5	2	86.5	69.9	84.3	69.3	57.2	70.4	68.8	68.9	82.2	69.4	1	1	1	1	0	1	1	1	1	1	19	12	18	12	7	13	12	12	17	12
18	1	239	4	72.3	71	79.8	66.8	69.2	72.8	86.6	84.3	84.8	90	1	1	1	1	1	1	1	1	1	1	14	13	17	11	12	14	19	18	19	21
19	1	209.5	5	55.5	67.4	80.5	72.9	62.9	76.1	91.2	86.3	78.8	87.4	0	1	1	1	1	1	1	1	1	1	7	12	17	14	10	15	22	20	17	20
13	2	273	11	99.7	62.7	76.9	77.4	76.8	72.2	61.7	83.9	69.3	65.8	1	1	1	1	1	1	1	1	1	1	24	10	15	15	15	13	9	18	12	11
14	2	394	16	97.5	63.2	80.3	77.4	69.1	67.7	63.2	72.6	65.5	69.7	1	1	1	1	1	1	1	1	1	1	22	9	15	14	11	11	9	13	10	11
15	2	395	3	95.3	61.9	74.2	66.2	63.6	70.1	67.3	69.8	68.3	70.6	1	1	1	1	1	1	1	1	1	1	21	9	13	10	9	12	11	11	11	12
16	2	366	17	90.6	73.2	77.6	58.5	58.3	62.1	76.1	73.3	70.1	76.6	1	1	1	0	0	1	1	1	1	1	19	13	15	7	7	9	14	13	12	14
17	2	367	5	79.9	74.7	78.9	66	60	63.6	84.2	88.2	74.5	81.5	1	1	1	1	0	1	1	1	1	1	15	14	15	10	8	9	17	19	13	16
18	2	368	16	85	63.6	74.3	71.5	63.2	63.1	87.9	91.2	77.5	83	1	1	1	1	1	1	1	1	1	1	17	9	13	12	9	9	18	20	15	17
19	2	339	2	69.1	55.7	73.8	73.2	64	72.5	96.6	82.3	76	76	1	0	1	1	1	1	1	1	1	1	12	7	13	13	10	13	22	17	14	14
20	2	280	12	68.4	61.7	78.9	76.3	76.5	58.6	87.8	90.9	72.4	87.6	1	1	1	1	1	0	1	1	1	1	12	9	16	15	15	8	19	21	13	19
12	3	308	9	93.5	75.8	79.7	76.7	64.8	65.6	83.5	82	68	59.3	1	1	1	1	1	1	1	1	1	0	21	14	16	15	10	11	17	17	11	8
13	3	399.5	15	92.5	71.2	78.3	83.4	67.8	67.3	68.6	77.6	69.2	60.4	1	1	1	1	1	1	1	1	1	0	20	12	15	16	11	11	11	14	11	8
14	3	491	12	85.7	65.3	78.2	77.2	65	65.2	70.7	82.9	62.4	71	1	1	1	1	1	1	1	1	1	1	16	9	14	13	9	9	11	15	8	11
15	3	522.5	14	83.9	68.9	81	68.1	68.4	66.5	70.7	73.3	72.7	69.7	1	1	1	1	1	1	1	1	1	1	15	10	14	10	10	9	11	12	12	11
16	3	494	6	87	74.5	75.2	59.6	63.4	58.9	78.5	78.4	68.9	79	1	1	1	0	1	0	1	1	1	1	17	12	13	7	9	7	14	14	10	14
17	3	495.5	9	82.7	68	80.1	71.3	65.1	54.7	90.4	86.2	76.9	72.9	1	1	1	1	1	0	1	1	1	1	15	10	14	11	9	5	18	16	13	12
18	3	467	15	88.9	55.6	63.3	76.5	66	65.7	86.7	79.9	74.2	72.9	1	0	1	1	1	1	1	1	1	1	18	6	9	13	10	9	17	15	13	12
19	3	468.5	19	82.4	46.6	68.3	60.7	72	71.1	85.8	78.6	75.2	71.2	1	0	1	1	1	1	1	1	1	1	15	3	10	8	12	11	17	14	13	11
20	3	380	1	77.1	55.7	69.8	77.5	77	65.5	87.9	90.3	65.5	81.7	1	0	1	1	1	1	1	1	1	1	14	6	12	14	14	10	18	19	10	16
21	3	291.5	8	79.5	54.4	74.5	80.4	85.4	63.5	85	88.3	74.3	88.1	1	0	1	1	1	1	1	1	1	1	16	6	14	16	18	10	18	19	14	19
9	4	218	17	94.5	63.4	73.9	87.6	81.7	66.5	70	73.5	85.3	73.2	1	1	1	1	1	1	1	1	1	1	23	10	15	20	18	12	13	14	19	14
10	4	280	6	85.9	69.4	73.6	88.3	80.7	51.6	73.4	65.6	73.5	78.7	1	1	1	1	1	0	1	1	1	1	19	12	14	20	17	5	14	11	14	16
11	4	342	16	83.4	71.5	76.8	77.4	75.2	62.2	73.7	63	77.4	71.1	1	1	1	1	1	1	1	1	1	1	17	12	14	15	14	9	13	9	15	12
12	4	434	15	87.6	72.9	81.8	86.7	70.2	63.6	94	75.4	73.4	65.7	1	1	1	1	1	1	1	1	1	1	18	12	16	17	11	9	20	13	12	10
13	4	496	17	83.5	77.6	77.5	84.6	68.1	71.1	77.1	73.3	62.2	60	1	1	1	1	1	1	1	1	1	0	16	13	13	16	10	11	13	12	8	7
14	4	588	10	83.5	72.7	81.7	78.6	61.9	71.1	69.2	73	56.4	63.5	1	1	1	1	1	1	1	1	0	1	15	11	14	13	8	11	10	11	6	8
15	4	620	19	91	64.1	78.9	66.9	65	69.3	70.5	87.1	73.1	66	1	1	1	1	1	1	1	1	1	1	17	8	13	9	8	10	10	16	11	9
16	4	622	2	85.5	71.5	77.2	66.4	68.7	64.7	90.7	86.8	75	67.5	1	1	1	1	1	1	1	1	1	1	15	11	12	9	10	8	17	16	12	9
17	4	624	13	74.3	72.2	59.5	59.2	73.5	63.9	97.8	82.4	73.9	64.4	1	1	0	0	1	1	1	1	1	1	11	11	7	7	11	8	19	14	11	8
18	4	596	17	79.1	63.1	57.2	60.6	64.6	56.4	81	77.2	64	59.9	1	1	0	0	1	0	1	1	1	0	13	8	6	7	8	6	14	13	8	7
19	4	568	11	82.3	57.3	55.8	58.3	70.4	74.5	82.8	56.4	64.7	64.2	1	0	0	0	1	1	1	0	1	1	15	6	6	6	11	12	15	6	9	8
20	4	480	12	84.1	64	63.6	72.2	78.6	66.9	95.1	80.4	64.7	77.1	1	1	1	1	1	1	1	1	1	1	16	9	9	12	14	10	20	15	9	13
21	4	392	19	84.8	71.2	68.2	74.5	81.4	70.3	84.6	85.6	68.8	82	1	1	1	1	1	1	1	1	1	1	17	12	11	13	16	12	17	17	11	16
22	4	304	6	80.9	60.5	68	84.2	90.4	71.8	83.8	78.1	81.1	84	1	1	1	1	1	1	1	1	1	1	16	9	11	18	20	13	18	15	17	18
6	5	245	5	86	69.7	94.6	85.3	80.3	71.6	74	62.2	72.7	74.4	1	1	1	1	1	1	1	1	1	1	19	13	22	19	17	13	14	10	14	14
7	5	247.5	16	81.5	70.7	88.8	87.5	80.7	81	63.8	75.6	76.4	71.5	1	1	1	1	1	1	1	1	1	1	17	13	20	20	17	17	10	15	15	13
8	5	280	19	77.4	76	78.9	91	75.1	73.7	60.5	68.9	78.4	59.5	1	1	1	1	1	1	1	1	1	0	15	15	16	21	14	14	9	12	16	8
9	5	312.5	16	85.6	66.4	80.6	96.4	84.8	63.2	62.4	73.5	88.5	64.6	1	1	1	1	1	1	1	1	1	1	18	11	16	22	18	10	9	13	19	10
10	5	375	17	88.7	71.4	68.9	87.4	87.3	45.1	68	71.6	78.1	66.9	1	1	1	1	1	0	1	1	1	1	19	12	11	18	18	2	11	12	15	11
11	5	497.5	17	63.5	80.6	83.1	84.5	75.4	54.2	78.3	68.3	75.3	70.4	1	1	1	1	1	0	1	1	1	1	9	15	15	16	13	5	14	10	13	11
12	5	560	16	64.9	77.7	82.8	81.1	79.4	57.2	80.7	76.1	74.4	73.6	1	1	1	1	1	0	1	1	1	1	9	13	15	14	14	6	14	12	12	12
13	5	622.5	15	63.3	85.1	86.5	80	72.2	67.8	79.1	82	56	71.1	1	1	1	1	1	1	1	1	0	1	8	15	15	13	11	9	13	14	5	10
14	5	685	6	68.1	82.6	76.7	68.4	66.1	66.7	81	76.4	63.7	66.7	1	1	1	1	1	1	1	1	1	1	9	14	12	9	8	9	13	12	8	9
15	5	717.5	15	72.4	73.2	81.1	65.8	75.9	60	86.6	87.2	59.1	52.7	1	1	1	1	1	0	1	1	0	0	10	11	13	8	11	6	15	15	6	4
