"","east","north","thick","soil","dummy"
"1",0.7,59.6,34.1,3.63576402529241,1
"2",2.1,82.7,42.2,3.50208328534059,1
"3",4.7,75.1,39.5,3.94654513211825,1
"4",4.8,52.8,34.3,2.94171526455791,1
"5",5.9,67.1,37,3.86626436921827,1
"6",6,35.7,35.9,3.01854834497799,1
"7",6.4,33.7,36.4,3.77176621538788,1
"8",7,46.7,34.6,3.03195768304959,1
"9",8.2,40.1,35.4,3.36252977713201,1
"10",13.3,0.6,44.7,3.45845308770341,1
"11",13.3,68.2,37.8,3.44843553427038,1
"12",13.4,31.3,37.8,3.64455993265276,1
"13",17.8,6.9,43.9,3.53318395415506,1
"14",20.1,66.3,37.7,3.8423871409944,1
"15",22.7,87.6,42.8,3.93133498990266,1
"16",23,93.9,43.6,3.33730778814506,1
"17",24.3,73,39.3,3.25374069991745,1
"18",24.8,15.1,42.3,3.86544950312995,1
"19",24.8,26.3,39.7,3.62042495518949,1
"20",26.4,58,36.9,3.84627483792635,1
"21",26.9,65,37.8,3.54492257234072,1
"22",27.7,83.3,41.8,4.0693255219099,1
"23",27.9,90.8,43.3,3.42432362753012,1
"24",29.1,47.9,36.7,3.82895344543159,1
"25",29.5,89.4,43,4.26828500691424,1
"26",30.1,6.1,43.6,3.93122549931731,1
"27",30.8,12.1,42.8,3.88913805346294,1
"28",32.7,40.2,37.5,3.40134757324739,1
"29",34.8,8.1,43.3,3.57819567903922,1
"30",35.3,32,38.8,3.42231876811251,1
"31",37,70.3,39.2,3.33545710099680,1
"32",38.2,77.9,40.7,3.84460490444314,1
"33",38.9,23.3,40.5,3.4242125437344,1
"34",39.4,82.5,41.4,3.97331627432825,1
"35",43,4.7,43.3,3.87962403175466,1
"36",43.7,7.6,43.1,3.34195507598546,1
"37",46.4,84.1,41.5,3.83961953814838,1
"38",46.7,10.6,42.6,4.08114848839566,1
"39",49.9,22.1,40.7,3.52513344367605,1
"40",51,88.8,42,3.25385283510177,1
"41",52.8,68.9,39.3,3.92356115877852,1
"42",52.9,32.7,39.2,4.0928971171361,1
"43",55.5,92.9,42.2,3.25186487785682,1
"44",56,1.6,42.7,4.09938450892028,1
"45",60.6,75.2,40.1,3.28000676133868,1
"46",62.1,26.6,40.1,3.55568125648622,1
"47",63,12.7,41.8,4.16666389801101,1
"48",69,75.6,40.1,4.08415829311323,1
"49",70.5,83.7,40.9,3.46681295765972,1
"50",70.9,11,41.7,3.76030263235299,1
"51",71.5,29.5,39.8,3.66314597280065,1
"52",78.1,45.5,38.7,3.96143431570257,1
"53",78.2,9.1,41.7,3.46287129563717,1
"54",78.4,20,40.8,3.63784188308629,1
"55",80.5,55.9,38.7,3.71798095228027,1
"56",81.1,51,38.6,3.30132347971349,1
"57",83.8,7.9,41.6,4.06373650868096,1
"58",84.5,11,41.5,4.06274554935049,1
"59",85.2,67.3,39.4,3.77299407436227,1
"60",85.5,73,39.8,3.75115008620845,1
"61",86.7,70.4,39.6,3.44203672859322,1
"62",87.2,55.7,38.8,3.33194112161413,1
"63",88.1,0,41.6,3.23943577365623,1
"64",88.4,12.1,41.3,3.78748301602105,1
"65",88.4,99.6,41.2,3.36504368702177,1
"66",88.8,82.9,40.5,3.86566755173081,1
"67",88.9,6.2,41.5,3.8186107551283,1
"68",90.6,7,41.5,3.33989837496307,1
"69",90.7,49.6,38.9,3.47294920684046,1
"70",91.5,55.4,39,3.26415487573326,1
"71",92.9,46.8,39.1,3.46488054364396,1
"72",93.4,70.9,39.7,3.50830260900806,1
"73",94.8,71.5,39.7,3.27342159025397,1
"74",96.2,84.3,40.3,4.12985169093482,1
"75",98.2,58.2,39.5,3.49403399313704,1
