"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"561",12.7,0.6,0.49,2.8,0.075,5,NA,0.9994,3.14,0.57,11.4,5
"321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"1177",6.5,0.88,0.03,NA,0.079,23,47,0.99572,NA,0.5,11.2,4
"1098",8.6,0.52,0.38,1.5,0.096,5,18,NA,3.2,0.52,9.4,5
"1252",7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5
"1170",7.6,0.5,0.29,2.3,NA,5,NA,0.99502,3.32,NA,11.5,6
"634",10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
"49",6.4,0.4,NA,1.6,0.066,5,12,0.9958,3.34,NA,9.2,5
"1152",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,NA,12.5,6
"1327",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"24",NA,0.49,0.11,2.3,0.084,9,NA,0.9968,3.17,0.53,9.4,5
"356",6.7,0.75,0.01,2.4,0.078,17,NA,NA,3.55,0.61,12.8,6
"165",7.3,0.59,0.26,7.2,0.07,NA,121,0.9981,3.37,NA,9.4,5
"622",NA,0.56,0.23,NA,0.078,NA,104,0.9976,3.28,0.62,9.4,5
"1556",7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
"410",12.5,0.46,0.49,NA,0.07,26,49,0.9981,3.05,0.57,9.6,4
"899",8.3,0.31,0.39,2.4,0.078,17,NA,0.99444,3.31,0.77,12.5,7
"1321",9.7,0.66,0.34,2.6,0.094,12,NA,0.99796,3.26,0.66,10.1,5
"601",8.2,0.915,0.27,2.1,0.088,7,NA,0.9962,3.26,0.47,10,4
"1307",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
"932",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
"997",5.6,NA,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
"1541",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
"1236",NA,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4
"860",6.8,0.56,0.22,1.8,NA,15,24,0.99438,3.4,0.82,11.2,6
"259",7.7,NA,0.76,1.8,0.611,8,45,NA,3.06,1.26,9.4,5
"1338",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"481",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
"1322",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
"1589",7.2,0.66,0.33,2.5,0.068,34,102,NA,3.27,0.78,12.8,6
"1182",9.8,0.39,0.43,1.65,0.068,5,NA,0.99478,3.19,0.46,11.4,5
"299",NA,0.65,0.02,2.3,0.094,5,NA,0.9993,3.67,0.8,9.7,5
"406",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
"314",8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5
"1316",7.5,0.63,0.27,2,0.083,NA,91,NA,3.26,NA,9.8,6
"836",7.6,0.665,0.1,1.5,0.066,NA,55,0.99655,3.39,0.51,9.3,5
"982",9.5,0.86,0.26,NA,0.079,13,28,0.99712,3.25,0.62,10,5
"146",NA,0.67,0.55,1.8,0.117,32,141,0.9968,NA,0.62,9.4,5
"1372",7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
"197",7.3,0.58,0.3,2.4,0.074,15,NA,0.9968,3.46,0.59,10.2,5
"1540",7.2,0.39,0.32,1.8,0.065,NA,60,0.99714,3.46,0.78,9.9,5
"226",7.7,NA,0.25,2.6,0.073,29,NA,0.99615,3.37,0.58,10.5,6
"504",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
"1379",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
"984",9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
"727",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,NA,11.1,6
